name,cohort
White knight,4
Brunier,4
Harvey,1
Sackler,1
Inoda,1
Satoshi,0
Ishajain,3
Hanskya,2
Mackey,2
Komm,3
Schleiden,4
Dolby,1
Anton Graff,4
Battaglini,0
Neukum,1
Lonnie Linda,4
Tim Warner,1
Mineo Saito,4
Coradini,2
Alex Levin,2
Craig Wallace,4
Cavalieri,3
Houston,0
Izsak,2
Alcathous,2
Marila,4
Kagekatu,4
Savalle,1
Cusinato,2
Makio,2
Scarlatti,3
Kurt Wahl,1
Psyche,3
Lisbeth,0
Weidenschilling,1
Primula,0
YORP,3
Parvulesco,3
Pippa,1
Pergolesi,3
Nerina,0
Muschi,4
Podalirius,1
Anastroda,2
Kindleberger,4
Cagney,1
Miwa,4
Reaves,1
Derevskaya,0
Pryor,0
Kvasnica,4
Greta DeVries,0
Linzia,0
Cowenco,4
Bouchet,3
Buie,1
Gouka,1
Nordlingen,0
Biblioran,3
Kiso,4
Mittlefehldt,1
Marsha Sega,3
Niebuhr,1
Nieuwenhuis,0
Arenda,3
Lully,2
James Hesser,1
Katayama,3
Coleman Hawkins,4
Chaplygin,0
La fiascaia,3
Kemstach,1
Foros,4
Herb Hauptman,4
Link,0
Kasahara,4
Kliment Ohridski,1
Patientia,4
Dick Smith,1
Yoshiya,0
Cambier,2
Kwak,4
Ivanka,3
Bidelman,4
Leavitt,4
Rumoi,2
Geoffrey Woo,1
Grubba,1
Antonio Leone,2
Reiji,1
Yamatai,2
Hopmann,2
Stalingrad,2
CCD,2
Kirghizia,1
Tomatic,3
Balster,2
Katsuno,0
Clapas,3
Holstein,4
Haigha,2
Innanen,3
Poutanen,0
Zvezdotchet,4
Buck Jean,2
Sabrina John,0
Jepe Jacobsen,4
Muraviov,3
Kamel,2
Cogshall,2
Vydra,0
Mineura,0
Yoritomo,3
Campai,2
Utesov,1
Saltis,0
Kasuga,1
Appenzella,0
Mallorca,0
Demariotte,3
Hogarth,4
Scylla,3
Shearer,1
Archipenko,2
Weigan,0
Vanschaik,4
Ana Lyons,4
Ceres,2
Sedna,3
Gonggong,0
Eris,0
Quaoar,0
Orcus,1
Makemake,0
Pluto,4
Chariklo,1
Ocasio-Cortez,3
Tyson,2
